03:13:36,PM,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,
03:13:37,PM,wlp2s0,1.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,
03:13:38,PM,wlp2s0,3.00,3.00,0.57,0.26,0.00,0.00,0.00,0.00,
03:13:39,PM,wlp2s0,7.00,7.00,0.96,0.56,0.00,0.00,0.00,0.00,
03:13:40,PM,wlp2s0,3.00,2.00,0.38,0.19,0.00,0.00,0.00,0.00,
03:13:41,PM,wlp2s0,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00,
03:13:42,PM,wlp2s0,2.00,2.00,0.34,0.16,0.00,0.00,0.00,0.00,
03:13:43,PM,wlp2s0,1.00,1.00,0.30,0.08,0.00,0.00,0.00,0.00,
03:13:44,PM,wlp2s0,1.00,1.00,0.11,0.08,0.00,0.00,0.00,0.00,
03:13:45,PM,wlp2s0,3.00,2.00,0.27,0.16,0.00,0.00,0.00,0.00,
03:13:46,PM,wlp2s0,6.00,6.00,1.32,0.48,0.00,0.00,0.00,0.00,
03:13:47,PM,wlp2s0,11.00,9.00,2.39,0.75,0.00,0.00,0.00,0.00,
03:13:48,PM,wlp2s0,4.00,3.00,0.72,0.24,0.00,0.00,0.00,0.00,
03:13:49,PM,wlp2s0,3.00,3.00,0.32,0.24,0.00,0.00,0.00,0.00,
03:13:50,PM,wlp2s0,7.00,4.00,0.69,0.39,0.00,0.00,0.00,0.00,
03:13:51,PM,wlp2s0,2.00,1.00,0.19,0.08,0.00,0.00,0.00,0.00,
Average:,,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,,
Average:,,wlp2s0,3.67,3.00,0.58,0.25,0.00,0.00,0.00,0.00,,
Average:,,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
